Country,State,LGA,Ward,
NIGERIA,ABIA,ABA NORTH,Ariaria,
NIGERIA,ABIA,ABA NORTH,Asaokpoja,
NIGERIA,ABIA,ABA NORTH,Asaokpulor,
NIGERIA,ABIA,ABA NORTH,Eziama  ward,
NIGERIA,ABIA,ABA NORTH,Industrial,
NIGERIA,ABIA,ABA NORTH,Ogbor 1,
NIGERIA,ABIA,ABA NORTH,Ogbor 2,
NIGERIA,ABIA,ABA NORTH,Old GRA,
NIGERIA,ABIA,ABA NORTH,Osusu 1,
NIGERIA,ABIA,ABA NORTH,Osusu 2,
NIGERIA,ABIA,ABA NORTH,St. Eugene,
NIGERIA,ABIA,ABA NORTH,Umuogor,
NIGERIA,ABIA,ABA NORTH,Umuola,
NIGERIA,ABIA,ABA NORTH,Uratta,
NIGERIA,ABIA,ABA SOUTH,Aba River,
NIGERIA,ABIA,ABA SOUTH,Aba Town Hall,
NIGERIA,ABIA,ABA SOUTH,Asa,
NIGERIA,ABIA,ABA SOUTH,Ekeoha,
NIGERIA,ABIA,ABA SOUTH,Elu Ohazu,
NIGERIA,ABIA,ABA SOUTH,Eyimba,
NIGERIA,ABIA,ABA SOUTH,Eziukwu 1,
NIGERIA,ABIA,ABA SOUTH,Eziukwu 2 (Park Ward),
NIGERIA,ABIA,ABA SOUTH,Glocester,
NIGERIA,ABIA,ABA SOUTH,Igwebuike,
NIGERIA,ABIA,ABA SOUTH,Iheorji,
NIGERIA,ABIA,ABA SOUTH,Mosque,
NIGERIA,ABIA,ABA SOUTH,Ngwa 1,
NIGERIA,ABIA,ABA SOUTH,Ngwa 2,
NIGERIA,ABIA,ABA SOUTH,Okporo Enyi,
NIGERIA,ABIA,ABA SOUTH,Umuogele,
NIGERIA,ABIA,AROCHUKWU,Arochukwu 1,
NIGERIA,ABIA,AROCHUKWU,Arochukwu 2,
NIGERIA,ABIA,AROCHUKWU,Arochukwu 3,
NIGERIA,ABIA,AROCHUKWU,Arochukwu 4,
NIGERIA,ABIA,AROCHUKWU,Ebemoha,
NIGERIA,ABIA,AROCHUKWU,Eleoha Ihe 1,
NIGERIA,ABIA,AROCHUKWU,Eleoha Ihe 2,
NIGERIA,ABIA,AROCHUKWU,Eleoha Ihe 3,
NIGERIA,ABIA,AROCHUKWU,Eleoha Ututu,
NIGERIA,ABIA,AROCHUKWU,Etiti  Abam,
NIGERIA,ABIA,AROCHUKWU,Ikwunihe 1,
NIGERIA,ABIA,AROCHUKWU,Ikwunihe 2,
NIGERIA,ABIA,AROCHUKWU,Isu,
NIGERIA,ABIA,AROCHUKWU,Ohaeke,
NIGERIA,ABIA,AROCHUKWU,Ohafor 1,
NIGERIA,ABIA,AROCHUKWU,Ohafor 2,
NIGERIA,ABIA,AROCHUKWU,Ovukwu,
NIGERIA,ABIA,AROCHUKWU,Ututu,
NIGERIA,ABIA,BENDE,Alayi 1,
NIGERIA,ABIA,BENDE,Alayi 2,
NIGERIA,ABIA,BENDE,Bende,
NIGERIA,ABIA,BENDE,Igbere 1,
NIGERIA,ABIA,BENDE,Igbere 2,
NIGERIA,ABIA,BENDE,Igbere 3,
NIGERIA,ABIA,BENDE,Item 1,
NIGERIA,ABIA,BENDE,Item 2,
NIGERIA,ABIA,BENDE,Item 3,
NIGERIA,ABIA,BENDE,Item 4,
NIGERIA,ABIA,BENDE,Itumbauzo 1,
NIGERIA,ABIA,BENDE,Itumbauzo 2,
NIGERIA,ABIA,BENDE,Nkpa 1,
NIGERIA,ABIA,BENDE,Nkpa 2,
NIGERIA,ABIA,BENDE,Ozuitem,
NIGERIA,ABIA,BENDE,Ugwueke,
NIGERIA,ABIA,BENDE,Umuhu/Eze,
NIGERIA,ABIA,BENDE,Umummenyi,
NIGERIA,ABIA,BENDE,Uzuakoli 1,
NIGERIA,ABIA,BENDE,Uzuakoli 2,
NIGERIA,ABIA,IKWUANO,Agbala-Ozu,
NIGERIA,ABIA,IKWUANO,Ahala-Uda/Oru-Igwe,
NIGERIA,ABIA,IKWUANO,Ajatanigu,
NIGERIA,ABIA,IKWUANO,Ariam 1,
NIGERIA,ABIA,IKWUANO,Ariam 2,
NIGERIA,ABIA,IKWUANO,Azuiyi,
NIGERIA,ABIA,IKWUANO,Ekpiri,
NIGERIA,ABIA,IKWUANO,Ibere 1,
NIGERIA,ABIA,IKWUANO,Ibere 2,
NIGERIA,ABIA,IKWUANO,Ikemba,
NIGERIA,ABIA,IKWUANO,Oboro 2,
NIGERIA,ABIA,IKWUANO,Oboro 3,
NIGERIA,ABIA,IKWUANO,Oboro 4,
NIGERIA,ABIA,IKWUANO,Oboro I,
NIGERIA,ABIA,IKWUANO,Oloko 1,
NIGERIA,ABIA,IKWUANO,Oloko 2,
NIGERIA,ABIA,IKWUANO,Ugwuegbu,
NIGERIA,ABIA,IKWUANO,Umudike,
NIGERIA,ABIA,IKWUANO,Usaka,
NIGERIA,ABIA,ISIALA NGWA NORTH,Achiudo,
NIGERIA,ABIA,ISIALA NGWA NORTH,Agburueze,
NIGERIA,ABIA,ISIALA NGWA NORTH,Ahiabaubi,
NIGERIA,ABIA,ISIALA NGWA NORTH,Amaasa Nsulu,
NIGERIA,ABIA,ISIALA NGWA NORTH,Amano,
NIGERIA,ABIA,ISIALA NGWA NORTH,Amaorji,
NIGERIA,ABIA,ISIALA NGWA NORTH,Amapu Ntigha,
NIGERIA,ABIA,ISIALA NGWA NORTH,Amasa Ntigha,
NIGERIA,ABIA,ISIALA NGWA NORTH,Eziama Ntigha,
NIGERIA,ABIA,ISIALA NGWA NORTH,Ihie,
NIGERIA,ABIA,ISIALA NGWA NORTH,Isiala Amapu,
NIGERIA,ABIA,ISIALA NGWA NORTH,Isiala Enyiala,
NIGERIA,ABIA,ISIALA NGWA NORTH,Isiala Nsulli,
NIGERIA,ABIA,ISIALA NGWA NORTH,Ngwaukwu 1,
NIGERIA,ABIA,ISIALA NGWA NORTH,Ngwaukwu 2,
NIGERIA,ABIA,ISIALA NGWA NORTH,Ori Anauga,
NIGERIA,ABIA,ISIALA NGWA NORTH,Umuelemoha,
NIGERIA,ABIA,ISIALA NGWA NORTH,Umunna Nsu,
NIGERIA,ABIA,ISIALA NGWA NORTH,Umuoha,
NIGERIA,ABIA,ISIALA NGWA NORTH,Umuomainta,
NIGERIA,ABIA,ISIALA NGWA SOUTH,Aku-na-Ekpu,
NIGERIA,ABIA,ISIALA NGWA SOUTH,Alaukwu,
NIGERIA,ABIA,ISIALA NGWA SOUTH,Amaise,
